time,p_x,p_y,p_z,f_x,f_y,f_z,tau_x,tau_y,tau_z
0.9,-0.0178057,-0.0219119,2.4994,-56.136,474.25,33.306,0,-9.00575,0
0.94,-0.0653281,-0.0219119,2.53733,-31.3188,401.35,27.3152,0,-5.79859,0
0.98,-0.129697,-0.0219119,2.50277,-12.5885,369.136,29.6259,0,-3.40716,0
1.03,-0.216689,-0.0219119,2.48257,16.19,402.961,29.1467,0,0.0606939,0
1.08,-0.28631,-0.0219119,2.50612,83.6843,584.466,23.9729,0,6.11057,0
1.18,-0.370415,-0.0219119,2.15535,118.577,351.222,7.24302,0,5.58981,0
1.29,0.0294317,-0.0219119,-0.155307,-12.2375,-27.1908,-0.632846,0,-0.467597,0
1.35,-0.000907023,-0.0219119,0.00428579,5.30133,15.613,0.404667,0,0.240808,0
1.4,-0.0127802,-0.0219119,0.0639882,2.0138,0.150465,-0.0443186,0,0.0579909,0
1.46,0.00679037,-0.0219119,-0.037058,-2.4513,-5.0828,-0.138433,0,-0.0813544,0
1.51,0.0108565,-0.0219119,-0.406145,0.409347,-12.2653,0.708609,0,0.183501,0
1.54,-0.0196405,-0.0219119,-0.0697734,9.9587,-39.9575,0.678968,0,0.136618,0
1.58,0.0112109,-0.0219119,0.898176,5.6125,44.372,-5.30943,0,1.29497,0
1.63,0.0933651,-0.0219119,2.18028,-76.1942,361.094,-1.6529,0,-3.00208,0
1.85,-0.0678415,-0.0219119,2.50893,-28.6075,423.99,38.6833,0,-8.79493,0
1.91,-0.159272,-0.0219119,2.46467,-7.39814,458.62,42.2816,0,-4.88662,0
1.95,-0.228909,-0.0219119,2.46573,21.821,481.984,44.2844,0,0.591702,0
1.99,-0.287935,-0.0219119,2.48674,57.3761,542.751,44.4634,0,5.36746,0
2.04,-0.365169,-0.0219119,2.48928,134.757,629.534,39.0475,0,13.9439,0
2.14,-0.197394,-0.0219119,1.02202,51.6455,127.018,2.70247,0,4.83991,0
2.31,-0.0152489,-0.0219119,0.0742935,4.60326,8.97547,0.139739,0,0.424538,0
2.51,0.00708775,-0.0219119,0.616677,4.31739,33.8549,-7.82911,0,3.30951,0
2.56,0.0794275,-0.0219119,1.99436,-80.2081,355.708,-10.7816,0,2.91094,0
2.61,0.0806465,-0.0219119,2.67233,-153.037,637.89,13.2942,0,-3.185,0
2.68,-0.023582,-0.0219119,2.46789,-99.9434,620.668,43.5342,0,-9.6144,0
2.78,-0.12304,-0.0219119,2.5184,-24.6713,422.916,40.1935,0,-7.73122,0
2.83,-0.187015,-0.0219119,2.48111,-9.85184,433.36,37.7433,0,-4.40274,0
2.88,-0.2729,-0.0219119,2.46083,25.4144,475.657,45.4223,0,0.482569,0
2.92,-0.332718,-0.0219119,2.48266,66.1324,577.692,51.7637,0,5.29442,0
2.96,-0.388374,-0.0219119,2.49644,137.494,696.66,41.0698,0,11.2977,0
3,-0.524204,-0.0219119,2.84759,169.558,632.173,18.2766,0,12.0797,0
3.06,-0.329054,-0.0219119,1.60521,77.9379,212.452,-3.11837,0,4.70351,0
3.14,0.01957,-0.0219119,-0.102269,-12.8057,-34.3068,1.03098,0,-0.952221,0
3.31,0.00572482,-0.0219119,-0.0296492,-2.74032,-6.9788,0.247015,0,-0.189623,0
3.41,-0.0179481,-0.0219119,0.364682,17.6171,-24.4853,-0.728349,0,-0.64319,0
3.45,0.035764,-0.0219119,1.49123,-14.051,168.682,-18.2591,0,4.88712,0
3.53,0.105091,-0.0219119,2.71156,-164.771,728.929,5.45496,0,5.19099,0
3.66,-0.0661928,-0.0219119,2.52591,-21.9852,397.558,37.5429,0,-4.90565,0
3.87,-0.400904,-0.0219119,2.89826,144.988,601.199,19.4701,0,2.18519,0
3.96,-0.132131,-0.0219119,0.770508,29.0827,65.6756,-1.20769,0,-0.0625901,0
4.08,0.000327644,-0.0219119,0.00405412,3.69229,12.9251,0.852318,0,0.10955,0
4.28,-0.00662286,-0.0219119,0.36491,16.139,-18.1614,-3.64521,0,1.7134,0
4.33,0.119611,-0.0219119,1.74412,-57.3601,298.355,-5.78023,0,1.17827,0
4.38,0.192208,-0.0219119,2.60441,-165.5,670.594,19.9447,0,-7.41702,0
4.47,0.0802287,-0.0219119,2.43897,-101.921,645.617,48.3381,0,-13.9307,0
4.53,0.0261474,-0.0219119,2.49371,-28.2759,434.28,39.0157,0,-8.86119,0
4.58,-0.0194995,-0.0219119,2.52771,-18.6072,404.667,34.7682,0,-6.86578,0
4.62,-0.0847095,-0.0219119,2.48729,-1.97546,434.811,39.1909,0,-4.38536,0
4.65,-0.138204,-0.0219119,2.47388,18.4053,467.388,43.1053,0,-2.25618,0
4.68,-0.185148,-0.0219119,2.48419,43.2869,520.746,42.7271,0,1.40649,0
4.72,-0.244128,-0.0219119,2.50195,103.219,627.996,36.9579,0,7.42442,0
4.78,-0.37731,-0.0219119,2.74568,157.932,565.124,17.963,0,9.93451,0
4.89,-0.0218599,-0.0219119,0.124961,-4.06363,-22.6503,-0.764011,0,-0.490347,0
4.95,0.0221294,-0.0219119,-0.130686,-4.19864,-4.06055,0.225964,0,-0.0838481,0
5.01,-0.0129367,-0.0219119,0.075905,5.31904,11.0542,0.0208711,0,0.278824,0
5.07,0.00212528,-0.0219119,-0.0161211,-2.44789,-7.45112,-0.140861,0,-0.162684,0
5.12,0.00415164,-0.0219119,-0.0258558,-0.528519,-0.0328466,0.0457421,0,0.0127798,0
5.16,-0.0225672,-0.0219119,-0.233739,7.50846,-42.1922,2.36088,0,-0.33833,0
5.2,0.0105115,-0.0219119,0.626146,12.8957,11.5405,-4.28884,0,0.688149,0
5.24,0.107796,-0.0219119,1.7425,-46.7243,268.686,-14.4835,0,3.28814,0
5.32,0.159657,-0.0219119,2.66665,-168.47,727.684,28.1454,0,-10.4555,0
5.45,-0.0104085,-0.0219119,2.49514,-24.4886,399.294,41.8168,0,-10.5946,0
5.62,-0.244933,-0.0219119,2.49475,77.8778,630.708,33.7826,0,6.85037,0
5.72,-0.328641,-0.0219119,2.14667,124.061,401.671,11.0276,0,9.45987,0
5.8,-0.0238324,-0.0219119,0.12352,-0.924509,-19.3916,-1.18139,0,-0.0182623,0
5.87,0.0157324,-0.0219119,-0.0869344,-2.31045,2.68886,0.210655,0,-0.1258,0
5.96,-0.00498312,-0.0219119,0.0238824,0.0867322,-3.98491,-0.223443,0,0.00719219,0
6.02,0.00559912,-0.0219119,-0.03371,-1.62986,-2.41811,-0.0785688,0,-0.089386,0
6.06,-0.0233481,-0.0219119,-0.240319,4.71163,-37.9358,3.02534,0,-1.03496,0
6.1,0.00162255,-0.0219119,0.631394,12.6387,3.43107,-0.80213,0,-0.526097,0
6.23,0.1398,-0.0219119,2.64991,-160.296,728.005,16.5098,0,-4.1213,0
6.33,-0.0163526,-0.0219119,2.48248,-12.0934,401.175,42.5887,0,-6.48755,0
6.51,-0.226429,-0.0219119,2.51428,73.5265,595.341,30.771,0,4.05326,0
6.57,-0.384819,-0.0219119,2.86989,137.852,554.488,17.843,0,6.69355,0
6.68,-0.0519434,-0.0219119,0.30011,3.31524,-3.90316,-3.69531,0,0.423342,0
6.84,-0.00833905,-0.0219119,0.0457361,0.641953,-1.31021,-0.76998,0,0.0674053,0
6.94,-0.017087,-0.0219119,-0.35454,2.24542,-26.9979,2.00153,0,-0.502971,0
6.98,-0.00550684,-0.0219119,0.365332,13.3279,-20.5858,-2.06543,0,0.290798,0
7.03,0.107999,-0.0219119,1.73729,-43.941,263.006,-10.9047,0,3.3624,0
7.14,0.116616,-0.0219119,2.53991,-128.986,703.275,46.0032,0,-15.0371,0
7.26,-0.0153803,-0.0219119,2.5306,-25.6517,422.37,35.3391,0,-6.50313,0
7.32,-0.086955,-0.0219119,2.4893,-4.99931,469.619,35.7916,0,-3.96209,0
7.36,-0.151925,-0.0219119,2.47772,25.1631,513.528,37.5541,0,0.820091,0
7.4,-0.211169,-0.0219119,2.49855,65.8097,582.515,42.1191,0,3.32158,0
7.45,-0.362282,-0.0219119,2.91094,140.337,623.737,33.5969,0,8.1198,0
7.51,-0.286884,-0.0219119,1.88521,96.0682,298.295,7.69524,0,6.14747,0
7.62,0.0283937,-0.0219119,-0.172118,-10.3291,-24.7448,0.0575238,0,-0.672265,0
7.77,0.00423782,-0.0219119,-0.0297028,-2.33324,-6.94997,-0.242543,0,-0.108701,0
7.82,0.0120099,-0.0219119,-0.419314,1.18904,-14.0803,0.0752586,0,0.34498,0
7.86,-0.02235,-0.0219119,0.12928,13.0207,-38.6145,-0.368693,0,-0.136686,0
7.89,0.0197052,-0.0219119,0.90767,2.45281,54.8472,-4.2152,0,1.81171,0
8.03,0.109052,-0.0219119,2.53674,-147.595,703.089,36.532,0,-12.9309,0
8.14,-0.0293279,-0.0219119,2.4925,-23.4491,405.276,48.5581,0,-11.621,0
8.19,-0.092335,-0.0219119,2.47463,-15.198,404.602,46.0855,0,-8.86655,0
8.23,-0.160023,-0.0219119,2.4451,10.2386,438.596,50.7556,0,-4.0947,0
8.27,-0.223176,-0.0219119,2.45718,41.5377,505.882,54.0531,0,1.88848,0
8.31,-0.276548,-0.0219119,2.47956,87.1805,631.728,46.9429,0,7.85675,0
8.39,-0.407969,-0.0219119,2.57019,157.933,561.014,13.5095,0,14.6217,0
8.56,0.0164316,-0.0219119,-0.0867247,-1.91293,3.54258,-0.0718083,0,-0.0330904,0
8.7,0.00658929,-0.0219119,-0.0377881,-2.30883,-4.7632,-0.0115169,0,-0.182081,0
8.74,0.00585552,-0.0219119,-0.408594,0.125261,-14.9427,2.4441,0,-0.826392,0
8.78,-0.0204452,-0.0219119,0.126341,13.4367,-37.0342,0.816554,0,-0.455325,0
8.85,0.103906,-0.0219119,2.00972,-65.0706,331.358,-26.0711,0,10.4244,0
9.05,-0.0822029,-0.0219119,2.54189,6.25037,366.67,28.7529,0,-2.56645,0
9.11,-0.10547,-0.0219119,2.53916,-5.81473,407.81,19.8946,0,-2.23118,0
9.16,-0.166482,-0.0219119,2.50646,19.8042,524.571,14.5664,0,0.762817,0
9.2,-0.231719,-0.0219119,2.52443,70.9455,628.213,22.9214,0,2.13934,0
9.28,-0.383638,-0.0219119,2.61956,138.662,504.594,7.7675,0,3.18922,0
9.38,-0.0248819,-0.0219119,0.124988,-2.55201,-19.2096,-3.2746,0,0.0395485,0
9.48,-0.00609316,-0.0219119,0.0406019,4.90017,14.5671,0.508497,0,0.0703832,0
9.6,0.00577881,-0.0219119,-0.034148,-1.32584,-2.17766,0.371306,0,-0.0457195,0
9.65,-0.0253936,-0.0219119,0.121896,15.1247,-38.4269,-1.27949,0,0.876296,0
9.7,0.083164,-0.0219119,1.47157,-21.9736,182.426,-12.5732,0,4.03243,0
9.85,0.104803,-0.0219119,2.42737,-119.342,648.441,56.0521,0,-19.7976,0
10.06,-0.161823,-0.0219119,2.46588,35.8737,535.113,41.6085,0,0.288263,0
10.12,-0.24766,-0.0219119,2.48914,124.132,689.638,40.4581,0,9.64856,0
10.16,-0.359383,-0.0219119,2.73008,153.317,594.394,26.158,0,12.3442,0
10.27,-0.0240112,-0.0219119,0.124599,-1.76343,-20.4978,-1.28052,0,-0.41167,0
10.35,0.00802644,-0.0219119,-0.0402732,1.20918,9.70053,0.643145,0,0.171913,0
10.41,-0.011393,-0.0219119,0.0636626,3.17246,3.53154,-0.284368,0,0.294273,0
10.47,0.00561968,-0.0219119,-0.0367089,-2.63328,-6.23527,-0.0565904,0,-0.253186,0
10.51,0.00267304,-0.0219119,-0.0156968,-0.0559592,1.39513,0.134031,0,0.011744,0
